"","Trat","Bloque","n_germin"
"1","T1",5,25
"2","T1",3,22
"3","T1",2,21
"4","T1",1,21
"5","T1",4,17
"6","T2",4,20
"7","T2",3,21
"8","T2",2,22
"9","T2",1,21
"10","T2",5,16
"11","T3",4,23
"12","T3",3,15
"13","T3",2,16
"14","T3",1,20
"15","T3",5,24
"16","T4",4,23
"17","T4",3,22
"18","T4",2,25
"19","T4",1,20
"20","T4",5,22
"21","T5",4,22
"22","T5",3,22
"23","T5",2,24
"24","T5",1,19
"25","T5",5,19
"26","T6",4,18
"27","T6",3,24
"28","T6",2,24
"29","T6",1,22
"30","T6",5,18
"31","T7",4,21
"32","T7",3,15
"33","T7",2,20
"34","T7",1,18
"35","T7",5,18
