"","x","n_germin","sep.1","sep.2"
"1","T1B5",25,T1,5
"2","T1B3",22,T1,3
"3","T1B2",21,T1,2
"4","T1B1",21,T1,1
"5","T1B4",17,T1,4
"6","T2B4",20,T2,4
"7","T2B3",21,T2,3
"8","T2B2",22,T2,2
"9","T2B1",21,T2,1
"10","T2B5",16,T2,5
"11","T3B4",23,T3,4
"12","T3B3",15,T3,3
"13","T3B2",16,T3,2
"14","T3B1",20,T3,1
"15","T3B5",24,T3,5
"16","T4B4",23,T4,4
"17","T4B3",22,T4,3
"18","T4B2",25,T4,2
"19","T4B1",20,T4,1
"20","T4B5",22,T4,5
"21","T5B4",22,T5,4
"22","T5B3",22,T5,3
"23","T5B2",24,T5,2
"24","T5B1",19,T5,1
"25","T5B5",19,T5,5
"26","T6B4",18,T6,4
"27","T6B3",24,T6,3
"28","T6B2",24,T6,2
"29","T6B1",22,T6,1
"30","T6B5",18,T6,5
"31","T7B4",21,T7,4
"32","T7B3",15,T7,3
"33","T7B2",20,T7,2
"34","T7B1",18,T7,1
"35","T7B5",18,T7,5
