"","Bloque","Tratamiento","Individuo","AlturaTallo","DiamTallo","CobVeg_anc","CobVeg_lar","Rad.prom","Area.cob","Yesenia","Victor"
"1","B2",1,236,2,6,19,8,6.75,143.138815279185,143.138815279185,477.522083345649
"2","B2",1,231,3,6.7,20,17,9.25,268.802521422777,268.802521422777,1068.14150222053
"3","B2",1,220,2.5,8.1,21,20,10.25,330.063578167778,330.063578167778,1319.46891450771
"4","B2",1,224,3,9.7,24,21,11.25,397.607820219958,397.607820219958,1583.36269740926
"5","B2",1,227,2.8,8,29,21,12.5,490.873852123405,490.873852123405,1913.22992603618
"6","B2",1,223,2.5,9.5,31,21.5,13.125,541.188421966054,541.188421966054,2093.8715036176
"7","B2",1,229,4,9.5,24,22.5,11.625,424.556794701533,424.556794701533,1696.46003293849
"8","B2",1,219,3,8.2,25,23,12,452.38934211693,452.38934211693,1806.41577581413
"9","B2",1,232,2.5,10,27,23,12.5,490.873852123405,490.873852123405,1950.92903787926
"10","B2",1,235,3.5,8.6,36,24,15,706.858347057703,706.858347057703,2714.33605270158
"11","B2",1,221,3.7,9.1,35,27,15.5,754.767635024948,754.767635024948,2968.80505764235
"12","B2",1,228,3,4.1,31,28,14.75,683.492751696629,683.492751696629,2726.90242331594
"13","B2",1,233,3.5,10.7,33,28,15.25,730.616641500476,730.616641500476,2902.83161191697
"14","B2",1,257,4,9.9,36,30,16.5,855.298599939821,855.298599939821,3392.92006587698
"15","B2",1,234,4.2,10.7,31.5,31,15.625,766.990393942821,766.990393942821,3067.76522623043
"16","B2",1,238,3.8,10.6,37,31,17,907.92027688745,907.92027688745,3603.40677366749
"17","B2",1,239,3.3,10.9,32,31.5,15.875,791.73043608984,791.73043608984,3166.72539481851
"18","B2",1,222,3.7,8.6,33,32,16.25,829.576810088555,829.576810088555,3317.52184219082
"19","B2",1,230,4,12.2,40,35,18.75,1104.46616727766,1104.46616727766,4398.22971502571
"20","B2",1,225,3.5,10,38,36,18.5,1075.21008569111,1075.21008569111,4297.69875011084
"21","B2",1,226,3.2,10.1,38,36,18.5,1075.21008569111,1075.21008569111,4297.69875011084
"22","B2",2,307,2.8,4.8,16,12,7,153.9380400259,153.9380400259,603.18578948924
"23","B2",2,314,4.3,10.1,32,17,12.25,471.435247579318,471.435247579318,1709.02640355285
"24","B2",2,300,3,8.6,24,19,10.75,363.05030103047,363.05030103047,1432.56625003695
"25","B2",2,301,3.3,7.8,22,21,10.75,363.05030103047,363.05030103047,1451.41580595848
"26","B2",2,315,3,6.9,20,25,11.25,397.607820219958,397.607820219958,1570.7963267949
"27","B2",2,316,3.7,10.2,38,26,16,804.247719318987,804.247719318987,3103.89354174672
"28","B2",2,305,4.3,10.6,31,29,15,706.858347057703,706.858347057703,2824.29179557722
"29","B2",2,321,4.3,10.5,34,29,15.75,779.311327631118,779.311327631118,3097.61035643954
"30","B2",2,317,4,10.2,17,30,11.75,433.736135736241,433.736135736241,1602.21225333079
"31","B2",2,303,3.2,10.7,31,30,15.25,730.616641500476,730.616641500476,2921.68116783851
"32","B2",2,304,5,12.7,41,30,17.75,989.798035421634,989.798035421634,3864.15896391545
"33","B2",2,310,4.2,9.8,42,30,18,1017.87601976309,1017.87601976309,3958.40674352314
"34","B2",2,319,4.5,11.6,44,30,18.5,1075.21008569111,1075.21008569111,4146.90230273853
"35","B2",2,309,4.3,10.3,37,31,17,907.92027688745,907.92027688745,3603.40677366749
