,Bloque.1,Bloque.2,Individuo,AlturaTallo,DiamTallo,CobVeg_anc,CobVeg_lar
8,B2,1,219,3,8.2,25,23
3,B2,1,220,2.5,8.1,21,20
11,B2,1,221,3.7,9.1,35,27
18,B2,1,222,3.7,8.6,33,32
6,B2,1,223,2.5,9.5,31,21.5
4,B2,1,224,3,9.7,24,21
20,B2,1,225,3.5,10,38,36
21,B2,1,226,3.2,10.1,38,36
5,B2,1,227,2.8,8,29,21
12,B2,1,228,3,4.1,31,28
7,B2,1,229,4,9.5,24,22.5
19,B2,1,230,4,12.2,40,35
2,B2,1,231,3,6.7,20,17
9,B2,1,232,2.5,10,27,23
13,B2,1,233,3.5,10.7,33,28
15,B2,1,234,4.2,10.7,31.5,31
10,B2,1,235,3.5,8.6,36,24
1,B2,1,236,2,6,19,8
16,B2,1,238,3.8,10.6,37,31
17,B2,1,239,3.3,10.9,32,31.5
126,B2,6,240,3.7,9.5,30,30
123,B2,6,241,3,9.3,39,25
113,B2,6,242,2.2,5.3,13.5,19.5
125,B2,6,243,3.8,7.3,33,29
114,B2,6,244,2.3,8.8,24.5,20
109,B2,6,245,4,9.4,22,17
120,B2,6,246,3.8,8.6,24,24
115,B2,6,247,2.8,8.3,24,22
121,B2,6,248,3,7.8,32,24
124,B2,6,249,4.2,11.2,35,27
127,B2,6,251,3,9.4,23,32
108,B2,6,252,1.7,7.2,21,13.5
107,B2,6,253,1.5,5.6,18,12
119,B2,6,254,3,11.3,30,23.5
118,B2,6,255,3.5,9.3,25,23
117,B2,6,256,2.8,6.9,25,23
14,B2,1,257,4,9.9,36,30
116,B2,6,257,3,8.8,24,23
112,B2,6,258,3.5,7.9,25,19
128,B2,6,259,3.3,8.5,33,34
110,B2,6,260,2,9,24,17
111,B2,6,261,3.8,9.4,24,19
106,B2,6,262,3.3,8.3,21,10
122,B2,6,263,4,11.7,25,25
49,B2,3,264,1.5,5.5,18,12
57,B2,3,265,2,5.8,26,23
45,B2,3,266,1.3,2.3,8.5,5.5
55,B2,3,267,1.5,6,28,20
48,B2,3,268,2.5,4.1,18,12
47,B2,3,270,2.3,3.6,16.5,11
56,B2,3,271,2.5,6.1,28,21
53,B2,3,272,2,3.7,15,15
50,B2,3,273,2.2,5.7,13,13
46,B2,3,274,1,2.7,10,8
54,B2,3,275,3.2,6.3,23,16
44,B2,3,277,1,2.5,5,3
51,B2,3,278,2.2,4.8,17.5,13
52,B2,3,279,2,3.7,19,13.7
149,B2,7,280,4.5,11.4,45,42
136,B2,7,281,3.2,12.9,27,27
142,B2,7,282,3.5,10.8,36,32
132,B2,7,283,3.5,7.6,31,21
145,B2,7,284,5.2,11.1,36,33
139,B2,7,285,4.3,12.6,36,30
137,B2,7,286,3,7.6,31,27
147,B2,7,287,4.8,9.7,41,37
138,B2,7,288,4.2,9.3,35,28
131,B2,7,289,2.8,11.1,30,21
133,B2,7,290,3.4,8.3,23.5,22
130,B2,7,291,2.5,5.4,25,14
148,B2,7,292,4.2,10.7,42,42
140,B2,7,293,4.2,12.9,43,31
146,B2,7,294,4.2,12,38,37
134,B2,7,295,4,8.1,29,22
143,B2,7,296,3.7,8.7,38,32
141,B2,7,297,3.3,11.9,34,32
135,B2,7,298,3,9.1,33.5,22
144,B2,7,299,4,10.2,35,33
24,B2,2,300,3,8.6,24,19
25,B2,2,301,3.3,7.8,22,21
39,B2,2,302,3.5,10.3,39,34.5
31,B2,2,303,3.2,10.7,31,30
32,B2,2,304,5,12.7,41,30
28,B2,2,305,4.3,10.6,31,29
40,B2,2,306,3.5,12,41,37
22,B2,2,307,2.8,4.8,16,12
36,B2,2,308,3.7,10.2,33,32
35,B2,2,309,4.3,10.3,37,31
33,B2,2,310,4.2,9.8,42,30
37,B2,2,311,4,10.2,33,32
41,B2,2,312,5.3,14.6,39,39
43,B2,2,313,5.8,13.8,49,47
23,B2,2,314,4.3,10.1,32,17
26,B2,2,315,3,6.9,20,25
27,B2,2,316,3.7,10.2,38,26
30,B2,2,317,4,10.2,17,30
38,B2,2,318,3.7,12.5,34,34
34,B2,2,319,4.5,11.6,44,30
42,B2,2,320,7,12.8,46,43
29,B2,2,321,4.3,10.5,34,29
73,B2,4,322,2,9,28,27
63,B2,4,323,2.5,6.3,25,19
67,B2,4,324,2.5,9.4,32,23
78,B2,4,325,3.8,10.6,33.5,31
75,B2,4,326,4.2,9.2,42,28
61,B2,4,327,1.7,7.6,18,17.5
62,B2,4,328,2.7,9.6,25,18
74,B2,4,329,3.3,10.7,34,28
77,B2,4,330,3.5,4.9,31.5,31
69,B2,4,331,3,9,38,24
66,B2,4,332,3,7.9,25,22
79,B2,4,333,4,11.8,36,33
68,B2,4,334,3,11.8,32,24
76,B2,4,335,3.2,8.8,36,29
80,B2,4,336,3.5,8.3,36,34
65,B2,4,337,3.2,9.7,36,21
