"","Bloque","Tratamiento","Individuo","AlturaTallo","DiamTallo","CobVeg_anc","CobVeg_lar","Rad.prom","Area.cob"
"1","B2",1,236,2.7,7.7,21,15.5,9.125,261.586675796563
"2","B2",1,224,5,12.5,24,17,10.25,330.063578167778
"3","B2",1,220,1.7,10.2,26,25,12.75,510.705155749191
"4","B2",1,231,3.7,7.2,38,25,15.75,779.311327631118
"5","B2",1,221,4,10.5,40,30,17.5,962.112750161874
"6","B2",1,222,4.5,10.2,41,33,18.5,1075.21008569111
"7","B2",1,223,3.5,10.6,41,35,19,1134.11494794592
"8","B2",1,234,8.5,10.2,53,36,22.25,1555.2847130678
"9","B2",1,226,5.2,11.8,43,37,20,1256.63706143592
"10","B2",1,239,9.5,10.6,46,37,20.75,1352.65198691126
"11","B2",1,228,4.5,13.4,49,37,21.5,1452.20120412188
"12","B2",1,219,5.3,11.9,55,37,23,1661.902513749
"13","B2",1,232,5.5,10,41,40,20.25,1288.24933751266
"14","B2",1,237,6,11.1,48,40,22,1520.53084433746
"15","B2",1,225,6.5,13.6,4.5,42,11.625,424.556794701533
"16","B2",1,238,5.5,13.2,47,42,22.25,1555.2847130678
"17","B2",1,229,6.5,11.1,56,43,24.75,1924.4218498646
"18","B2",1,235,6.3,10.7,51,45,24,1809.55736846772
"19","B2",1,227,3.7,11.1,55,46,25.25,2002.96166620434
"20","B2",1,230,7.5,12,63,49,28,2463.0086404144
"21","B2",1,233,5,11.5,51,50,25.25,2002.96166620434
"22","B2",2,315,4.5,6.1,28,17,11.25,397.607820219958
"23","B2",2,307,3.2,5.8,25,23,12,452.38934211693
"24","B2",2,318,3,13.6,30,30,15,706.858347057703
"25","B2",2,311,4.5,10.7,40,31,17.75,989.798035421634
"26","B2",2,314,3.5,9.6,49,33,20.5,1320.25431267111
"27","B2",2,321,4,10.8,49,33,20.5,1320.25431267111
"28","B2",2,300,4.2,10.7,43,36,19.75,1225.41748444087
"29","B2",2,316,4.5,9.8,50,36,21.5,1452.20120412188
"30","B2",2,309,6.5,11.4,40,38,19.5,1194.59060652752
"31","B2",2,305,7.3,10.7,40,39,19.75,1225.41748444087
"32","B2",2,303,3,13.5,40,39,19.75,1225.41748444087
"33","B2",2,310,6.7,11.3,41,39,20,1256.63706143592
"34","B2",2,317,5,10.4,40,40,20,1256.63706143592
"35","B2",2,301,5,7.8,44,41,21.25,1418.62543263664
"36","B2",2,306,6,12.3,52,41,23.25,1698.22717880613
"37","B2",2,312,7,15.3,46,42,22,1520.53084433746
"38","B2",2,308,4.5,9.5,43,43,21.5,1452.20120412188
"39","B2",2,304,5,13.6,50,49,24.75,1924.4218498646
"40","B2",2,302,6,10,53,51,26,2123.7166338267
"41","B2",2,313,6.3,13.4,55,54,27.25,2332.82889483127
"42","B2",2,320,9.3,15.2,65,60,31.25,3067.96157577128
"43","B2",2,319,8.2,11.5,57,63,30,2827.43338823081
"44","B2",3,277,2,2,4,3,1.75,9.62112750161874
