,Bloque.1,Bloque.2,Individuo,DiamTallo,AlturaTallo,CobVeg_anc,CobVeg_lar
13,B2,1,219,11.5,10,66.5,49.5
1,B2,1,220,7.7,2.5,26,23
20,B2,1,221,11.3,9.3,70,67
5,B2,1,222,11.3,7,47,39
4,B2,1,223,12.9,8,46,37
2,B2,1,224,11,3,25,24
8,B2,1,225,13,6.5,52,47
19,B2,1,226,13,11,69,63
18,B2,1,227,14,9.5,68,63
16,B2,1,228,11.6,8,57,56
11,B2,1,230,16.2,13,52,48.5
6,B2,1,231,9.2,4.5,52,39
10,B2,1,233,11.8,4.5,70,47
12,B2,1,235,11.7,8.5,67,49
3,B2,1,236,8.5,5.5,30,26
14,B2,1,237,12.8,11,54,50
7,B2,1,239,12.2,8.5,68,45
126,B2,6,240,14.5,11,69,65
120,B2,6,241,10.2,10.5,55,51
117,B2,6,242,8.3,7.3,40,47
122,B2,6,243,11,5.5,56,52
111,B2,6,244,10.6,8,48,42
110,B2,6,245,8.4,4.5,44,40
112,B2,6,245,10,4.3,44,43
123,B2,6,246,11,9,67,55
121,B2,6,247,9.8,6,58,51
124,B2,6,248,10.6,7,58,57
113,B2,6,249,10,7.5,48,43
114,B2,6,250,11.1,7.7,55,45
108,B2,6,251,8.5,2.7,38,36.5
103,B2,6,252,7.4,5,29,27
105,B2,6,253,9,5,37,35
116,B2,6,254,10.4,5,54.5,46
119,B2,6,255,11.1,8.5,52,49
109,B2,6,256,8,6.5,54.5,39
118,B2,6,257,11,7.5,58,47
107,B2,6,258,9,7,54,36
125,B2,6,259,8.5,8,62,58
104,B2,6,260,6.6,3.5,35,28
102,B2,6,261,8.7,3,29,19
106,B2,6,262,8.7,6,42,36
115,B2,6,263,12,8.5,62,45
49,B2,3,264,8,5,46,42
50,B2,3,265,8.6,4,52,42
44,B2,3,267,8.5,2.3,33,31
51,B2,3,268,7.3,5.5,41,43
47,B2,3,270,7,4.5,40,37
43,B2,3,271,6,2.5,32,28
53,B2,3,271,8.3,4,52,45
52,B2,3,272,7.6,4.5,45.5,44
45,B2,3,273,9.3,4.5,45,36
46,B2,3,275,8,4,47,36
54,B2,3,276,10.1,8.5,53,57
48,B2,3,278,6,5,43,37.5
148,B2,7,280,11.7,8,62,58
147,B2,7,281,9.8,9,59,57
135,B2,7,282,11.9,4.5,43,42
130,B2,7,283,6.3,5,48,34
136,B2,7,284,12.8,8,43,42
144,B2,7,285,11,9.5,53,53
139,B2,7,286,8.3,8,49,44
143,B2,7,287,11.7,7.5,66,47
141,B2,7,288,9.3,8,54,47
142,B2,7,289,10.6,5,56,47
132,B2,7,290,9.1,7.5,49,38
129,B2,7,291,7.6,6,33,28
140,B2,7,292,10.5,12,47,46
134,B2,7,293,12.4,5,46,40
145,B2,7,294,11.4,7,54,53
133,B2,7,295,7.9,5.5,39,38.5
138,B2,7,296,9.2,6,47,43
137,B2,7,297,9.6,10,48,42
131,B2,7,298,8.6,4,40,36
146,B2,7,299,10.7,8.5,59,56
33,B2,2,300,11.2,6.5,57,53
27,B2,2,301,8.8,8.5,50,47
36,B2,2,302,10.4,10,66,55
39,B2,2,304,13.9,10,59,56
30,B2,2,305,11.7,10,57,49
23,B2,2,307,5.5,6,37,33
24,B2,2,308,9.4,6,44,43
35,B2,2,309,12.5,9.5,59,55
25,B2,2,310,11.1,9,48,43
34,B2,2,311,10.4,8,59,54
38,B2,2,312,13.2,9,59,56
29,B2,2,313,12,8.5,52,49
31,B2,2,314,9.6,6.5,54,50
21,B2,2,315,6.7,7.5,25,23
26,B2,2,316,9.2,11,49,44
40,B2,2,317,11.5,10,58,58
37,B2,2,318,12.5,10,67,55
32,B2,2,319,11.5,12,60,50
41,B2,2,320,14.2,12,70,66
28,B2,2,321,12.8,8,49,48
61,B2,4,322,10,2,37,37
55,B2,4,323,7,5,38,30
74,B2,4,324,10.4,7,57,54
72,B2,4,325,10.9,9,64,52
59,B2,4,326,11,4,53,35
56,B2,4,327,9,3.5,37,32
68,B2,4,328,9.2,6,43,48
75,B2,4,329,11.6,4,70,55
63,B2,4,330,8.7,8,50,39
67,B2,4,331,8.6,8,49,45
73,B2,4,332,9.9,7,56,54
76,B2,4,333,12.9,11,59,56
60,B2,4,334,7.3,3,38,36
66,B2,4,335,10.2,7,45,43
69,B2,4,336,10.5,6,63,48
71,B2,4,337,11.1,7,63,52
58,B2,4,338,8.3,5,38,35
70,B2,4,340,9.2,7,50,49
64,B2,4,341,7.3,7.5,53,40
57,B2,4,342,6.1,5.5,37,33
77,B2,4,343,11,7,75,68
62,B2,4,344,7.9,8,42,39
80,B2,5,345,11.3,4.5,38,33
78,B2,5,346,7.8,4.5,36,27
83,B2,5,347,9.1,5.5,48,43
94,B2,5,348,11.6,6,58,53
82,B2,5,349,5.6,2,38,37
91,B2,5,350,12.5,8.8,54,49
92,B2,5,351,9.8,9,57,49
87,B2,5,352,9.6,6,47,45
96,B2,5,353,9.9,9,59,55
90,B2,5,354,11,8,60,48
85,B2,5,355,11.6,6.5,63,44
84,B2,5,356,10.7,8.5,58,44
79,B2,5,357,10.2,4.5,34,29
100,B2,5,358,13.7,10,67,58
97,B2,5,359,10.2,5.5,59,56
101,B2,5,360,11.2,10,77,69
89,B2,5,361,8.7,7.5,57,48
88,B2,5,362,9.4,6.5,48,45
81,B2,5,363,10.6,5.5,40,35
99,B2,5,364,12.4,7.7,62,58
86,B2,5,366,8.2,5.5,46,45
93,B2,5,366,7.8,6,49,51
98,B2,5,367,10.6,6,67,56
95,B2,5,368,11.2,7,65,53
282,B3,7,369,14,9,83,68
272,B3,7,370,7.8,12,45,47
275,B3,7,371,10.4,6.5,62,52
274,B3,7,372,9.7,7,53,52
276,B3,7,373,13.6,11.5,93,54
271,B3,7,374,11.2,10,55,44
278,B3,7,375,11,10,68,58
281,B3,7,376,10.9,5.5,66,65
279,B3,7,378,12,7,64,59
277,B3,7,380,8.5,9.5,60,57
270,B3,7,381,13,6.5,52,40
280,B3,7,382,12.3,9,76,64
269,B3,7,383,13.6,8,36,30
199,B3,3,384,11.8,7.5,61,57
197,B3,3,385,9.5,7,53,47
196,B3,3,386,7.2,5,34,40
192,B3,3,387,5.9,3.5,48,30
273,B3,7,387,10.2,8.5,64,47
198,B3,3,388,7.1,6.5,52,48
191,B3,3,389,9.7,3.7,29,28
194,B3,3,390,3,8,43,36
188,B3,3,391,4.2,2.5,30,22
195,B3,3,392,9.4,6,58,39
200,B3,3,393,8.4,7,68,61
189,B3,3,394,4.8,3,35,26
190,B3,3,396,4.9,4,33,27
187,B3,3,397,3.3,3,21,22
193,B3,3,398,6.3,3,35,34
238,B3,5,399,13.5,11,72,59
231,B3,5,400,12.7,11.5,62,52
243,B3,5,401,10.2,8,65,63
239,B3,5,402,12.9,10.5,61,60
241,B3,5,403,10,7.5,64,60
245,B3,5,404,13.5,14,83,80
227,B3,5,405,10.3,5.5,57,46
229,B3,5,406,11.8,11,59,47
236,B3,5,407,10,10,62,59
228,B3,5,408,14.7,8,59,46
225,B3,5,409,12.2,13.5,54,40
244,B3,5,410,14.2,13,72,63
234,B3,5,411,13.3,13,61,53
419,B4,7,411,15.5,12.8,78,75
237,B3,5,412,13,9,65,59
232,B3,5,413,13.5,10,65,52
240,B3,5,414,15.8,12,63,60
224,B3,5,415,12.1,8,47,25
235,B3,5,416,11.4,13,68,56
226,B3,5,417,11.6,12,62,42
242,B3,5,418,11.9,5,60,62
233,B3,5,419,11.4,10,54,53
230,B3,5,420,12.2,6.8,51,50
246,B3,6,421,10.1,5,37,34
249,B3,6,422,10,2,42,41
258,B3,6,423,12.2,9,54,49
262,B3,6,424,10.4,9.5,43,54
264,B3,6,425,9.7,10.5,59,55
251,B3,6,426,9.3,7.3,45,43
250,B3,6,428,13.6,11.5,54,41
252,B3,6,430,11.4,7,46,45
261,B3,6,431,12,5,67,52
260,B3,6,432,9.5,4.5,59,50
255,B3,6,433,11.2,6,49,46
253,B3,6,434,9.6,3,48,45
254,B3,6,435,10.8,8.7,56,45
263,B3,6,436,9.8,10,57,55
267,B3,6,437,12.4,8,70,67
247,B3,6,439,10,9.5,38,37
266,B3,6,440,10.3,11,67,56
257,B3,6,441,12.2,11,49,47
259,B3,6,442,13.3,5.5,56,49
256,B3,6,443,11.1,9.5,50,46
248,B3,6,444,12.3,10.3,43,39
155,B3,1,445,9.1,11.5,60,50
151,B3,1,446,10.5,10,45,44
152,B3,1,447,9.5,5.5,53,46
157,B3,1,448,9.2,8.5,58,54
165,B3,1,449,14.2,8,75,63
164,B3,1,450,12.3,11.5,64,63
159,B3,1,451,12.7,11.5,57,56
158,B3,1,452,11.3,7,57,55
162,B3,1,455,11.2,12,60,57
166,B3,1,457,11,3.5,77,64
153,B3,1,458,11.1,7.5,48,47
150,B3,1,459,14.4,11,48,41
154,B3,1,460,9.5,11.5,58,47
156,B3,1,461,7.5,8.7,57,54
161,B3,1,462,11.9,10,58,57
149,B3,1,463,12.1,7,77,33
163,B3,1,464,12.4,9,72,57
207,B3,4,465,10.7,10,53,49
206,B3,4,466,10.5,11.3,52,49
208,B3,4,467,13.1,9.5,61,52
211,B3,4,468,10.9,7.5,64,57
209,B3,4,469,12.8,13.5,62,54
214,B3,4,470,13,14.2,80,60
203,B3,4,471,9.3,7.5,56,38
219,B3,4,472,13,10.3,78,66
216,B3,4,473,12,13.5,66,65
217,B3,4,474,13.4,8,66,65
215,B3,4,475,10.7,10.5,80,62
212,B3,4,476,10.5,10.5,65,60
221,B3,4,477,11.5,12,73,69
202,B3,4,478,12.8,3.5,49,36
223,B3,4,479,11.8,11,87,75
213,B3,4,480,13.9,17,79,60
205,B3,4,481,9.3,6.5,50,42
204,B3,4,482,10.3,11,57,40
218,B3,4,483,13.1,12,91,65
210,B3,4,484,12.1,12,58,55
222,B3,4,485,12.9,14,82,75
220,B3,4,486,13.5,8.5,79,68
173,B3,2,487,13,15,65,58
175,B3,2,488,12.9,17,82,62
185,B3,2,490,16.5,15.5,74,71
184,B3,2,491,12.1,7.5,79,70
179,B3,2,492,12,13.5,67,65
172,B3,2,493,13.1,15.5,67,57
168,B3,2,494,12.3,13.5,58,49
174,B3,2,495,11.7,16,70,60
181,B3,2,496,13.2,10.5,80,67
177,B3,2,497,11.3,14.5,78,63
167,B3,2,498,3.8,5,30,24
182,B3,2,499,13.6,21.5,79,69
170,B3,2,500,11.9,12,68,56
180,B3,2,501,10.7,11,74,67
178,B3,2,502,14.3,19,83,63
171,B3,2,503,14.2,13,70,56
176,B3,2,504,13.2,12.5,72,63
186,B3,2,505,12.6,13,92,85
183,B3,2,506,11.3,13.5,75,70
417,B4,7,507,8.5,17.7,61,73
408,B4,7,508,6.5,10.8,48,46
415,B4,7,509,14.5,12.3,68,63
420,B4,7,510,17.5,12.6,89,79.5
413,B4,7,512,10,12.3,71,56
403,B4,7,513,13.5,10,36.5,38
418,B4,7,514,16,14.8,87,73.5
402,B4,7,515,7,8.1,40,37
412,B4,7,516,11.5,9.8,46,55
407,B4,7,517,11.3,13.9,49,45
411,B4,7,518,15,10.9,62,54
416,B4,7,519,14.5,11.3,73,69
405,B4,7,520,6,11.4,50,41
406,B4,7,521,7.5,10,49,43
409,B4,7,522,6.5,9.4,50,47
414,B4,7,523,12,12.9,56,57.5
410,B4,7,524,9,11.3,57,54
404,B4,7,525,5.5,9.7,49,41
400,B4,7,526,5.2,8.7,25,17.5
401,B4,7,527,7.5,5.7,39,33
396,B4,6,528,12.7,13,80,81
393,B4,6,529,14,11.5,69,72
392,B4,6,530,16.3,15,65,62
395,B4,6,531,12.8,10.5,59,79
397,B4,6,532,12.9,14.5,83,84
398,B4,6,533,17.7,13.5,91,87
381,B4,6,535,10.4,9,41,37
383,B4,6,536,8.6,5.5,37,42
390,B4,6,537,14.2,8.5,52,58
394,B4,6,538,13.6,8.5,70,77
387,B4,6,539,13.4,12.1,80,52
382,B4,6,540,9.2,5,27,42
384,B4,6,541,12.6,5,52,46
385,B4,6,542,13.2,5.5,65,48
388,B4,6,542,11.7,7.5,62,53
389,B4,6,543,21.6,9.5,65,56
391,B4,6,544,11.5,5,57,59
386,B4,6,545,14.1,5,72,52
308,B4,2,549,14.3,7.5,60,49
304,B4,2,551,12.3,5,36,35
306,B4,2,553,12.2,4.5,47,46
303,B4,2,555,10.7,4,36,34
305,B4,2,558,12.6,6.5,46,39
310,B4,2,559,11.5,7.5,62,55
311,B4,2,559,9.8,7.5,60,56
312,B4,2,560,13.3,14.5,76,81
302,B4,2,562,12.5,5.5,36,29
307,B4,2,563,12.6,7,50,47
365,B4,5,565,14.9,10.5,43,42
378,B4,5,566,17,9.5,64,61
309,B4,2,567,12.5,11.5,62,52
369,B4,5,567,15.4,10.5,66,45
371,B4,5,568,16.4,5,50,48
373,B4,5,569,13.3,11,42.5,49
374,B4,5,570,17.8,7.5,71,49
360,B4,5,571,11.7,6.5,45,35
375,B4,5,572,15.5,12.5,70,50
367,B4,5,574,10.8,9.3,64,44
359,B4,5,575,12.8,9.8,49,30
366,B4,5,575,10.9,5,30,44
361,B4,5,576,9.8,7.3,33.5,37
363,B4,5,577,17,9,34,38
380,B4,5,578,16.6,10,59.5,75
379,B4,5,579,16.8,6.5,65,62
362,B4,5,580,14.5,9.5,68,37
364,B4,5,581,13.8,11.5,35,39
368,B4,5,582,17.3,3.6,41,45
372,B4,5,583,13.6,11,52,48
370,B4,5,584,15.8,6.8,70,46
376,B4,5,585,14.5,18.5,55,54
377,B4,5,586,14.5,8.5,66,58
336,B4,4,587,13.1,6,39,29
351,B4,4,588,13.5,7,47,47
352,B4,4,589,18,7.8,43,49
347,B4,4,590,13.8,9,59,43
346,B4,4,591,10.5,7.5,54,43
337,B4,4,592,14.2,5,32,30
345,B4,4,593,16.5,12,45,43
339,B4,4,594,15.2,7.8,48,37
348,B4,4,594,17.5,7.5,44,45
356,B4,4,595,12,8.3,54.5,55
350,B4,4,596,10.2,8,46,47
344,B4,4,597,17.3,6,42,43
349,B4,4,599,16.1,6,44,47
340,B4,4,600,11.6,8,45,38
343,B4,4,601,14.7,4.3,30,40.5
355,B4,4,602,9.9,8.5,50,53
342,B4,4,603,10.4,5.5,66,40
358,B4,4,604,13.4,12.5,70,73
341,B4,4,605,14,7.3,54.5,39
357,B4,4,606,14.9,7,60,55
338,B4,4,607,9.4,3.5,45,35
354,B4,4,608,16.9,8.3,67,51
353,B4,4,609,12.5,14.5,56,50
332,B4,3,610,9.1,7.7,52,47
321,B4,3,611,10.2,6,44,34.5
327,B4,3,612,9.7,5,51,40
331,B4,3,613,11,10.5,49,45
328,B4,3,614,9.4,3.8,46,43.5
324,B4,3,615,11.1,6.5,36,38
316,B4,3,616,11.6,5.5,41,29
335,B4,3,617,16.8,8,49,55.5
323,B4,3,618,7.9,7,37.5,35.5
334,B4,3,619,11,7.5,51,49
330,B4,3,620,9.1,8,58,44
315,B4,3,622,8.3,5.3,35,28.5
318,B4,3,623,10.7,6.5,33.5,31
325,B4,3,624,7.7,7.5,40,38
322,B4,3,625,9.3,7.5,36.5,35
329,B4,3,626,8.2,7.3,53.5,44
326,B4,3,627,10.6,8.7,42,40
317,B4,3,628,9,7.3,45,30.5
314,B4,3,629,8.4,2,26,22
333,B4,3,630,9.4,5.2,54,47
319,B4,3,631,7.1,5.8,35,31
320,B4,3,632,7.6,4,36,34
297,B4,1,633,10.4,5.5,51,50
291,B4,1,634,11.7,5,43,42
295,B4,1,635,12,4,55,47.5
