"","Individuo","Bloque.x","Tratamiento.x","AlturaTallo.x","DiamTallo.x","CobVeg_anc.x","CobVeg_lar.x","Rad.prom.x","Area.cob.x","Bloque.y","Tratamiento.y","AlturaTallo.y","DiamTallo.y","CobVeg_anc.y","CobVeg_lar.y","Rad.prom.y","Area.cob.y","dif.tallo","dif.alt","dif.cob"
"1",219,"B2",1,3,8.2,25,23,12,452.38934211693,"B2",1,5.3,11.9,55,37,23,1661.902513749,3.7,2.3,1209.51317163207
"2",220,"B2",1,2.5,8.1,21,20,10.25,330.063578167778,"B2",1,1.7,10.2,26,25,12.75,510.705155749191,2.1,0,180.641577581413
"3",221,"B2",1,3.7,9.1,35,27,15.5,754.767635024948,"B2",1,4,10.5,40,30,17.5,962.112750161874,1.4,0.3,207.345115136926
"4",222,"B2",1,3.7,8.6,33,32,16.25,829.576810088555,"B2",1,4.5,10.2,41,33,18.5,1075.21008569111,1.6,0.8,245.633275602552
"5",223,"B2",1,2.5,9.5,31,21.5,13.125,541.188421966054,"B2",1,3.5,10.6,41,35,19,1134.11494794592,1.1,1,592.926525979861
"6",224,"B2",1,3,9.7,24,21,11.25,397.607820219958,"B2",1,5,12.5,24,17,10.25,330.063578167778,2.8,2,0
"7",225,"B2",1,3.5,10,38,36,18.5,1075.21008569111,"B2",1,6.5,13.6,4.5,42,11.625,424.556794701533,3.6,3,0
"8",226,"B2",1,3.2,10.1,38,36,18.5,1075.21008569111,"B2",1,5.2,11.8,43,37,20,1256.63706143592,1.7,2,181.426975744811
"9",227,"B2",1,2.8,8,29,21,12.5,490.873852123405,"B2",1,3.7,11.1,55,46,25.25,2002.96166620434,3.1,0.9,1512.08781408094
"10",228,"B2",1,3,4.1,31,28,14.75,683.492751696629,"B2",1,4.5,13.4,49,37,21.5,1452.20120412188,9.3,1.5,768.708452425252
"11",229,"B2",1,4,9.5,24,22.5,11.625,424.556794701533,"B2",1,6.5,11.1,56,43,24.75,1924.4218498646,1.6,2.5,1499.86505516306
"12",230,"B2",1,4,12.2,40,35,18.75,1104.46616727766,"B2",1,7.5,12,63,49,28,2463.0086404144,0,3.5,1358.54247313674
"13",231,"B2",1,3,6.7,20,17,9.25,268.802521422777,"B2",1,3.7,7.2,38,25,15.75,779.311327631118,0.5,0.7,510.508806208341
"14",232,"B2",1,2.5,10,27,23,12.5,490.873852123405,"B2",1,5.5,10,41,40,20.25,1288.24933751266,0,3,797.375485389259
"15",233,"B2",1,3.5,10.7,33,28,15.25,730.616641500476,"B2",1,5,11.5,51,50,25.25,2002.96166620434,0.800000000000001,1.5,1272.34502470387
"16",234,"B2",1,4.2,10.7,31.5,31,15.625,766.990393942821,"B2",1,8.5,10.2,53,36,22.25,1555.2847130678,0,4.3,788.294319124976
"17",235,"B2",1,3.5,8.6,36,24,15,706.858347057703,"B2",1,6.3,10.7,51,45,24,1809.55736846772,2.1,2.8,1102.69902141002
"18",236,"B2",1,2,6,19,8,6.75,143.138815279185,"B2",1,2.7,7.7,21,15.5,9.125,261.586675796563,1.7,0.7,118.447860517378
"19",238,"B2",1,3.8,10.6,37,31,17,907.92027688745,"B2",1,5.5,13.2,47,42,22.25,1555.2847130678,2.6,1.7,647.364436180347
"20",239,"B2",1,3.3,10.9,32,31.5,15.875,791.73043608984,"B2",1,9.5,10.6,46,37,20.75,1352.65198691126,0,6.2,560.921550821415
"21",240,"B2",6,3.7,9.5,30,30,15,706.858347057703,"B2",6,6.5,9.7,54,51,26.25,2164.75368786422,0.199999999999999,2.8,1457.89534080651
"22",241,"B2",6,3,9.3,39,25,16,804.247719318987,"B2",6,4.5,9.2,41,35,19,1134.11494794592,0,1.5,329.867228626928
"23",242,"B2",6,2.2,5.3,13.5,19.5,8.25,213.824649984955,"B2",6,3,7.2,28,27,13.75,593.95736106932,1.9,0.8,380.132711084365
"24",243,"B2",6,3.8,7.3,33,29,15.5,754.767635024948,"B2",6,6.5,8.7,46,36,20.5,1320.25431267111,1.4,2.7,565.486677646163
"25",244,"B2",6,2.3,8.8,24.5,20,11.125,388.821178266949,"B2",6,4.2,8.5,41,40,20.25,1288.24933751266,0,1.9,899.428159245715
"26",245,"B2",6,4,9.4,22,17,9.75,298.64765163188,"B2",6,4,9.4,33,27,15,706.858347057703,0,0,408.210695425824
"27",246,"B2",6,3.8,8.6,24,24,12,452.38934211693,"B2",6,5.7,10.7,42,37,19.75,1225.41748444087,2.1,1.9,773.028142323938
"28",247,"B2",6,2.8,8.3,24,22,11.5,415.47562843725,"B2",6,3.2,8.4,33,30,15.75,779.311327631118,0.0999999999999996,0.4,363.835699193868
"29",248,"B2",6,3,7.8,32,24,14,615.752160103599,"B2",6,3.3,9.9,45,35,20,1256.63706143592,2.1,0.3,640.884901332318
"30",249,"B2",6,4.2,11.2,35,27,15.5,754.767635024948,"B2",6,5.3,10.6,33,30,15.75,779.311327631118,0,1.1,24.5436926061702
"31",251,"B2",6,3,9.4,23,32,13.75,593.95736106932,"B2",6,3.3,9.2,36,34,17.5,962.112750161874,0,0.3,368.155389092554
"32",252,"B2",6,1.7,7.2,21,13.5,8.625,233.705040995953,"B2",6,2.2,6.1,26,20,11.5,415.47562843725,0,0.5,181.770587441297
"33",253,"B2",6,1.5,5.6,18,12,7.5,176.714586764426,"B2",6,2.5,5.6,30,26,14,615.752160103599,0,1,439.037573339174
"34",254,"B2",6,3,11.3,30,23.5,13.375,562.001473296087,"B2",6,4.3,11.3,42,36,19.5,1194.59060652752,0,1.3,632.589133231432
"35",255,"B2",6,3.5,9.3,25,23,12,452.38934211693,"B2",6,4.5,10.5,41,40,20.25,1288.24933751266,1.2,1,835.859995395734
"36",256,"B2",6,2.8,6.9,25,23,12,452.38934211693,"B2",6,3.5,6.1,37,32,17.25,934.820163983813,0,0.7,482.430821866883
"37",257,"B2",1,4,9.9,36,30,16.5,855.298599939821,"B2",6,3.2,12.1,39,38,19.25,1164.15642769587,2.2,0,308.857827756047
"38",257,"B2",6,3,8.8,24,23,11.75,433.736135736241,"B2",6,3.2,12.1,39,38,19.25,1164.15642769587,3.3,0.2,730.420291959627
"39",258,"B2",6,3.5,7.9,25,19,11,380.132711084365,"B2",6,3,9.2,36,35,17.75,989.798035421634,1.3,0,609.665324337269
"40",259,"B2",6,3.3,8.5,33,34,16.75,881.413088872786,"B2",6,5.5,8.1,45,35,20,1256.63706143592,0,2.2,375.223972563131
"41",260,"B2",6,2,9,24,17,10.25,330.063578167778,"B2",6,2.5,8.3,18,16,8.5,226.980069221863,0,0.5,0
"42",261,"B2",6,3.8,9.4,24,19,10.75,363.05030103047,"B2",6,2.7,9.8,24,23,11.75,433.736135736241,0.4,0,70.6858347057704
"43",262,"B2",6,3.3,8.3,21,10,7.75,188.691908756237,"B2",6,3,8,31,25,14,615.752160103599,0,0,427.060251347362
