"","Bloque.x","Tratamiento.x","Individuo","hTallo.1","DTallo.1","ACob.1","hTallo.2","DTallo.2","ACob.2","hTallo.3","DTallo.3","ACob.3"
"1","B2",1,219,3,8.2,452.38934211693,5.3,11.9,1661.902513749,10,11.5,2642.07942166902
"2","B2",1,220,2.5,8.1,330.063578167778,1.7,10.2,510.705155749191,2.5,7.7,471.435247579318
"3","B2",1,221,3.7,9.1,754.767635024948,4,10.5,962.112750161874,9.3,11.3,3685.28453220168
"4","B2",1,222,3.7,8.6,829.576810088555,4.5,10.2,1075.21008569111,7,11.3,1452.20120412188
"5","B2",1,223,2.5,9.5,541.188421966054,3.5,10.6,1134.11494794592,8,12.9,1352.65198691126
"6","B2",1,224,3,9.7,397.607820219958,5,12.5,330.063578167778,3,11,471.435247579318
"7","B2",1,225,3.5,10,1075.21008569111,6.5,13.6,424.556794701533,6.5,13,1924.4218498646
"8","B2",1,226,3.2,10.1,1075.21008569111,5.2,11.8,1256.63706143592,11,13,3421.19439975928
"9","B2",1,227,2.8,8,490.873852123405,3.7,11.1,2002.96166620434,9.5,14,3369.5544705159
"10","B2",1,228,3,4.1,683.492751696629,4.5,13.4,1452.20120412188,8,11.6,2507.1872871055
"11","B2",1,230,4,12.2,1104.46616727766,7.5,12,2463.0086404144,13,16.2,1983.17944996377
"12","B2",1,231,3,6.7,268.802521422777,3.7,7.2,779.311327631118,4.5,9.2,1625.97054777357
"13","B2",1,233,3.5,10.7,730.616641500476,5,11.5,2002.96166620434,4.5,11.8,2687.82886468692
"14","B2",1,235,3.5,8.6,706.858347057703,6.3,10.7,1809.55736846772,8.5,11.7,2642.07942166902
"15","B2",1,236,2,6,143.138815279185,2.7,7.7,261.586675796563,5.5,8.5,615.752160103599
"16","B2",1,239,3.3,10.9,791.73043608984,9.5,10.6,1352.65198691126,8.5,12.2,2507.1872871055
"17","B2",6,240,3.7,9.5,706.858347057703,6.5,9.7,2164.75368786422,11,14.5,3525.65235549115
"18","B2",6,241,3,9.3,804.247719318987,4.5,9.2,1134.11494794592,10.5,10.2,2206.18344098343
"19","B2",6,242,2.2,5.3,213.824649984955,3,7.2,593.95736106932,7.3,8.3,1486.16967468882
"20","B2",6,243,3.8,7.3,754.767635024948,6.5,8.7,1320.25431267111,5.5,11,2290.22104446696
"21","B2",6,244,2.3,8.8,388.821178266949,4.2,8.5,1288.24933751266,8,10.6,1590.43128087983
"22","B2",6,245,4,9.4,298.64765163188,4,9.4,706.858347057703,4.5,8.4,1385.4423602331
"23","B2",6,245,4,9.4,298.64765163188,4,9.4,706.858347057703,4.3,10,1486.16967468882
"24","B2",6,246,3.8,8.6,452.38934211693,5.7,10.7,1225.41748444087,9,11,2922.4665660019
"25","B2",6,247,2.8,8.3,415.47562843725,3.2,8.4,779.311327631118,6,9.8,2332.82889483127
"26","B2",6,248,3,7.8,615.752160103599,3.3,9.9,1256.63706143592,7,10.6,2596.72267773281
"27","B2",6,249,4.2,11.2,754.767635024948,5.3,10.6,779.311327631118,7.5,10,1625.97054777357
"28","B2",6,251,3,9.4,593.95736106932,3.3,9.2,962.112750161874,2.7,8.5,1089.78903909917
"29","B2",6,252,1.7,7.2,233.705040995953,2.2,6.1,415.47562843725,5,7.4,615.752160103599
"30","B2",6,253,1.5,5.6,176.714586764426,2.5,5.6,615.752160103599,5,9,1017.87601976309
"31","B2",6,254,3,11.3,562.001473296087,4.3,11.3,1194.59060652752,5,10.4,1983.17944996377
"32","B2",6,255,3.5,9.3,452.38934211693,4.5,10.5,1288.24933751266,8.5,11.1,2002.96166620434
"33","B2",6,256,2.8,6.9,452.38934211693,3.5,6.1,934.820163983813,6.5,8,1716.53677349034
"34","B2",1,257,4,9.9,855.298599939821,3.2,12.1,1164.15642769587,7.5,11,2164.75368786422
"35","B2",6,257,3,8.8,433.736135736241,3.2,12.1,1164.15642769587,7.5,11,2164.75368786422
"36","B2",6,258,3.5,7.9,380.132711084365,3,9.2,989.798035421634,7,9,1590.43128087983
"37","B2",6,259,3.3,8.5,881.413088872786,5.5,8.1,1256.63706143592,8,8.5,2827.43338823081
"38","B2",6,260,2,9,330.063578167778,2.5,8.3,226.980069221863,3.5,6.6,779.311327631118
"39","B2",6,261,3.8,9.4,363.05030103047,2.7,9.8,433.736135736241,3,8.7,452.38934211693
"40","B2",6,262,3.3,8.3,188.691908756237,3,8,615.752160103599,6,8.7,1194.59060652752
"41","B2",6,263,4,11.7,490.873852123405,5.7,11.8,1164.15642769587,8.5,12,2248.00589318435
"42","B2",3,264,1.5,5.5,176.714586764426,3,5.3,706.858347057703,5,8,1520.53084433746
"43","B2",3,265,2,5.8,471.435247579318,3.5,5.9,730.616641500476,4,8.6,1734.94454294496
"44","B2",3,267,1.5,6,452.38934211693,2.5,6.5,615.752160103599,2.3,8.5,804.247719318987
"45","B2",3,268,2.5,4.1,176.714586764426,2.5,5.9,593.95736106932,5.5,7.3,1385.4423602331
"46","B2",3,270,2.3,3.6,148.48934026733,2.5,5,380.132711084365,4.5,7,1164.15642769587
"47","B2",3,271,2.5,6.1,471.435247579318,2.5,7.6,934.820163983813,2.5,6,706.858347057703
"48","B2",3,271,2.5,6.1,471.435247579318,2.5,7.6,934.820163983813,4,8.3,1847.45282985165
"49","B2",3,272,2,3.7,176.714586764426,2.5,7.8,490.873852123405,4.5,7.6,1572.8089095886
"50","B2",3,273,2.2,5.7,132.732289614169,2,7,510.705155749191,4.5,9.3,1288.24933751266
"51","B2",3,275,3.2,6.3,298.64765163188,3.5,8.6,1003.78794020715,4,8,1352.65198691126
"52","B2",3,278,2.2,4.8,182.654160375119,3,4.3,314.159265358979,5,6,1272.39411208908
"53","B2",7,280,4.5,11.4,1486.16967468882,5,11.9,1225.41748444087,8,11.7,2827.43338823081
"54","B2",7,281,3.2,12.9,572.55526111674,5,12.9,1452.20120412188,9,9.8,2642.07942166902
"55","B2",7,282,3.5,10.8,907.92027688745,3,10.8,1104.46616727766,4.5,11.9,1418.62543263664
"56","B2",7,283,3.5,7.6,530.929158456675,3.5,8.1,962.112750161874,5,6.3,1320.25431267111
"57","B2",7,284,5.2,11.1,934.820163983813,2.5,12.6,1734.94454294496,8,12.8,1418.62543263664
"58","B2",7,285,4.3,12.6,855.298599939821,6,13.8,2123.7166338267,9.5,11,2206.18344098343
"59","B2",7,286,3,7.6,660.519855417254,2,9,1164.15642769587,8,8.3,1698.22717880613
"60","B2",7,287,4.8,9.7,1194.59060652752,6.5,10.2,2002.96166620434,7.5,11.7,2507.1872871055
"61","B2",7,288,4.2,9.3,779.311327631118,5,8.2,1625.97054777357,8,9.3,2002.96166620434
"62","B2",7,289,2.8,11.1,510.705155749191,3.5,10.8,1017.87601976309,5,10.6,2083.07227887088
"63","B2",7,290,3.4,8.3,406.492636943392,4.5,9.5,1194.59060652752,7.5,9.1,1486.16967468882
"64","B2",7,291,2.5,5.4,298.64765163188,3,5.7,268.802521422777,6,7.6,730.616641500476
"65","B2",7,292,4.2,10.7,1385.4423602331,4,11.4,1134.11494794592,12,10.5,1698.22717880613
"66","B2",7,293,4.2,12.9,1075.21008569111,5,11.9,1385.4423602331,5,12.4,1452.20120412188
"67","B2",7,295,4,8.1,510.705155749191,3.5,7.2,804.247719318987,5.5,7.9,1179.32442972648
"68","B2",7,296,3.7,8.7,962.112750161874,4.3,8.7,779.311327631118,6,9.2,1590.43128087983
"69","B2",7,297,3.3,11.9,855.298599939821,4.5,11.9,1288.24933751266,10,9.6,1590.43128087983
"70","B2",7,298,3,9.1,604.805673201247,3.5,8.6,855.298599939821,4,8.6,1134.11494794592
"71","B2",7,299,4,10.2,907.92027688745,5,11.4,1625.97054777357,8.5,10.7,2596.72267773281
"72","B2",7,299,4,10.2,907.92027688745,4.5,9.2,1256.63706143592,8.5,10.7,2596.72267773281
"73","B2",2,300,3,8.6,363.05030103047,4.2,10.7,1225.41748444087,6.5,11.2,2375.82944427728
"74","B2",2,301,3.3,7.8,363.05030103047,5,7.8,1418.62543263664,8.5,8.8,1847.45282985165
"75","B2",2,302,3.5,10.3,1060.72930705347,6,10,2123.7166338267,10,10.4,2874.75362757551
"76","B2",2,304,5,12.7,989.798035421634,5,13.6,1924.4218498646,10,13.9,2596.72267773281
"77","B2",2,305,4.3,10.6,706.858347057703,7.3,10.7,1225.41748444087,10,11.7,2206.18344098343
"78","B2",2,307,2.8,4.8,153.9380400259,3.2,5.8,452.38934211693,6,5.5,962.112750161874
