Bloque,Individuo,AlturaTallo,DiamTallo,CobVeg_anc,CobVeg_lar
B2T1,220,2.5,7.7,26,23
B2T1,224,3,11,25,24
B2T1,236,5.5,8.5,30,26
B2T1,223,8,12.9,46,37
B2T1,222,7,11.3,47,39
B2T1,231,4.5,9.2,52,39
B2T1,239,8.5,12.2,68,45
B2T1,225,6.5,13,52,47
B2T1,234,NA,10.8,58,47
B2T1,233,4.5,11.8,70,47
B2T1,230,13,16.2,52,48.5
B2T1,235,8.5,11.7,67,49
B2T1,219,10,11.5,66.5,49.5
B2T1,237,11,12.8,54,50
B2T1,238,9.5,NA,70,52
B2T1,228,8,11.6,57,56
B2T1,229,12,NA,75,62
B2T1,227,9.5,14,68,63
B2T1,226,11,13,69,63
B2T1,221,9.3,11.3,70,67
B2T2,315,7.5,6.7,25,23
B2T2,303,NA,NA,53,29
B2T2,307,6,5.5,37,33
B2T2,308,6,9.4,44,43
B2T2,310,9,11.1,48,43
B2T2,316,11,9.2,49,44
B2T2,301,8.5,8.8,50,47
B2T2,321,8,12.8,49,48
B2T2,313,8.5,12,52,49
B2T2,305,10,11.7,57,49
B2T2,314,6.5,9.6,54,50
B2T2,319,12,11.5,60,50
B2T2,300,6.5,11.2,57,53
B2T2,311,8,10.4,59,54
B2T2,309,9.5,12.5,59,55
B2T2,302,10,10.4,66,55
B2T2,318,10,12.5,67,55
B2T2,312,9,13.2,59,56
B2T2,304,10,13.9,59,56
B2T2,317,10,11.5,58,58
B2T2,320,12,14.2,70,66
B2T3,277,NA,1.9,7.5,3
B2T3,271,2.5,6,32,28
B2T3,267,2.3,8.5,33,31
B2T3,273,4.5,9.3,45,36
B2T3,275,4,8,47,36
B2T3,270,4.5,7,40,37
B2T3,278,5,6,43,37.5
B2T3,264,5,8,46,42
B2T3,265,4,8.6,52,42
B2T3,268,5.5,7.3,41,43
B2T3,272,4.5,7.6,45.5,44
B2T3,271,4,8.3,52,45
B2T3,276,8.5,10.1,53,57
B2T4,323,5,7,38,30
B2T4,327,3.5,9,37,32
B2T4,342,5.5,6.1,37,33
B2T4,338,5,8.3,38,35
B2T4,326,4,11,53,35
B2T4,334,3,7.3,38,36
B2T4,322,2,10,37,37
B2T4,344,8,7.9,42,39
B2T4,330,8,8.7,50,39
B2T4,341,7.5,7.3,53,40
B2T4,339,NA,11,55,42
B2T4,335,7,10.2,45,43
B2T4,331,8,8.6,49,45
B2T4,328,6,9.2,43,48
B2T4,336,6,10.5,63,48
B2T4,340,7,9.2,50,49
B2T4,337,7,11.1,63,52
B2T4,325,9,10.9,64,52
B2T4,332,7,9.9,56,54
B2T4,324,7,10.4,57,54
B2T4,329,4,11.6,70,55
B2T4,333,11,12.9,59,56
B2T4,343,7,11,75,68
B2T5,346,4.5,7.8,36,27
B2T5,357,4.5,10.2,34,29
B2T5,345,4.5,11.3,38,33
B2T5,363,5.5,10.6,40,35
B2T5,349,2,5.6,38,37
B2T5,347,5.5,9.1,48,43
B2T5,356,8.5,10.7,58,44
B2T5,355,6.5,11.6,63,44
B2T5,366,5.5,8.2,46,45
B2T5,352,6,9.6,47,45
B2T5,362,6.5,9.4,48,45
B2T5,361,7.5,8.7,57,48
B2T5,354,8,11,60,48
B2T5,350,8.8,12.5,54,49
B2T5,351,9,9.8,57,49
B2T5,366,6,7.8,49,51
B2T5,348,6,11.6,58,53
