"","Individuo","Bloque","Trat","df.tallo.12","df.alt.12","df.cob.12","df.tallo.13","df.alt.13","df.cob.13","df.tallo.23","df.alt.23","df.cob.23"
"1",219,"B2",1,3.7,2.3,1209.51317163207,3.3,7,2189.69007955209,0,4.7,980.176907920016
"2",220,"B2",1,2.1,0,180.641577581413,0,0,141.371669411541,0,0.8,0
"3",221,"B2",1,1.4,0.3,207.345115136926,2.2,5.6,2930.51689717673,0.800000000000001,5.3,2723.1717820398
"4",222,"B2",1,1.6,0.8,245.633275602552,2.7,3.3,622.624394033327,1.1,2.5,376.991118430775
"5",223,"B2",1,1.1,1,592.926525979861,3.4,5.5,811.463564945201,2.3,4.5,218.53703896534
"6",224,"B2",1,2.8,2,0,1.3,0,73.8274273593602,0,0,141.371669411541
"7",225,"B2",1,3.6,3,0,3,3,849.211764173491,0,0,1499.86505516306
"8",226,"B2",1,1.7,2,181.426975744811,2.9,7.8,2345.98431406818,1.2,5.8,2164.55733832337
"9",227,"B2",1,3.1,0.9,1512.08781408094,6,6.7,2878.6806183925,2.9,5.8,1366.59280431156
"10",228,"B2",1,9.3,1.5,768.708452425252,7.5,5,1823.69453540887,0,3.5,1054.98608298362
"11",230,"B2",1,0,3.5,1358.54247313674,4,9,878.713282686108,4.2,5.5,0
"12",231,"B2",1,0.5,0.7,510.508806208341,2.5,1.5,1357.16802635079,2,0.8,846.659220142449
"13",233,"B2",1,0.800000000000001,1.5,1272.34502470387,1.1,1,1957.21222318644,0.300000000000001,0,684.867198482575
"14",235,"B2",1,2.1,2.8,1102.69902141002,3.1,5,1935.22107461131,1,2.2,832.522053201295
"15",236,"B2",1,1.7,0.7,118.447860517378,2.5,3.5,472.613344824414,0.8,2.8,354.165484307037
"16",239,"B2",1,0,6.2,560.921550821415,1.3,5.2,1715.45685101566,1.6,0,1154.53530019425
"17",240,"B2",6,0.199999999999999,2.8,1457.89534080651,5,7.3,2818.79400843344,4.8,4.5,1360.89866762693
"18",241,"B2",6,0,1.5,329.867228626928,0.899999999999999,7.5,1401.93572166445,1,6,1072.06849303752
"19",242,"B2",6,1.9,0.8,380.132711084365,3,5.1,1272.34502470387,1.1,4.3,892.212313619501
"20",243,"B2",6,1.4,2.7,565.486677646163,3.7,1.7,1535.45340944201,2.3,0,969.966731795849
"21",244,"B2",6,0,1.9,899.428159245715,1.8,5.7,1201.61010261288,2.1,3.8,302.181943367168
